32130, 2882, 8888, 8854, 10806, -217, 103, 236, 704
32140, 2883, 8896, 9021, 10807, -262, 58, 296, 704
32150, 2884, 8894, 9014, 10809, -299, 28, 386, 704
32160, 2885, 8886, 8995, 10805, -309, 36, 398, 704
32170, 2886, 8884, 8935, 10807, -293, 98, 412, 704
32180, 2887, 8882, 8992, 10806, -320, 124, 383, 704
32190, 2888, 8886, 8886, 10812, -330, 177, 407, 704
32200, 2889, 8889, 8912, 10812, -370, 188, 420, 704
32210, 2890, 8878, 8897, 10805, -327, 201, 477, 704
32220, 2891, 8884, 8906, 10808, -286, 163, 488, 704
36339, 3293, 8913, 8624, 10820, -296, 290, -143, 704
36349, 3294, 8917, 8634, 10817, -279, 287, -161, 704
36359, 3295, 8912, 8508, 10817, -288, 281, -220, 704
36369, 3296, 8918, 8702, 10818, -279, 268, -225, 704
36379, 3297, 8911, 16975, 10816, -291, 232, -221, 704
36389, 3298, 8914, 8845, 10819, -317, 221, -234, 704
36399, 3299, 8910, 8980, 10817, -309, 256, -272, 704
36409, 3300, 8912, 7943, 10816, -304, 294, -290, 704
36419, 3301, 8908, 8729, 10818, -273, 299, -291, 704
36429, 3302, 8917, 8615, 10813, -265, 332, -287, 704
36439, 3303, 8910, 9155, 10817, -265, 332, -232, 704
36449, 3304, 8917, 17725, 10816, -255, 328, -232, 704
36459, 3305, 8912, 9053, 10815, -245, 295, -140, 704
36469, 3306, 8913, 8597, 10814, -238, 310, -47, 704
36479, 3307, 8915, 9094, 10813, -237, 331, -24, 704
36489, 3308, 8912, 9093, 10818, -223, 333, -10, 704
36499, 3309, 8906, 9055, 10815, -246, 319, -14, 704
36509, 3310, 8909, 8640, 10812, -246, 362, -61, 704
36519, 3311, 8910, 9125, 10811, -275, 387, -74, 704
36529, 3312, 8915, 9063, 10817, -319, 336, -59, 704
36539, 3313, 8912, 17434, 10814, -273, 282, -61, 704
36549, 3314, 8912, 9159, 10817, -229, 250, -58, 704
36559, 3315, 8905, 9133, 10818, -206, 201, -114, 704
36569, 3316, 8906, 9190, 10821, -202, 203, -60, 704
36579, 3317, 8908, 8717, 10822, -255, 216, -57, 704
36589, 3318, 8905, 17256, 10820, -209, 236, -76, 704
36599, 3319, 8904, 9124, 10819, -209, 236, -76, 704
36609, 3320, 8905, 9143, 10823, -203, 233, -90, 704
36619, 3321, 8900, 17846, 10822, -221, 243, -161, 703
36629, 3322, 8898, 9158, 10824, -237, 212, -196, 703
36639, 3323, 8894, 17872, 10824, -222, 177, -178, 703
36649, 3324, 8892, 17623, 10820, -232, 124, -110, 703
36659, 3325, 8888, 9078, 10819, -277, 102, -94, 703
36669, 3326, 8885, 17850, 10820, -319, 75, -141, 703
36679, 3327, 8880, 9041, 10820, -442, 49, -239, 703
36689, 3328, 8887, 17443, 10826, -527, -32, -299, 703
36699, 3329, 8879, 9162, 10824, -490, -96, -406, 703
36709, 3330, 8875, 9130, 10831, -475, -63, -370, 703
36719, 3331, 8886, 9168, 10827, -350, -33, -384, 703
36729, 3332, 8879, 17728, 10829, -356, 66, -404, 703
36739, 3333, 8878, 9037, 10830, -350, 182, -433, 703
36749, 3334, 8875, 9022, 10831, -362, 249, -306, 703
36759, 3335, 8875, 8640, 10835, -362, 249, -306, 703
36769, 3336, 8887, 9006, 10833, -379, 256, -191, 703
36779, 3337, 8875, 8625, 10835, -366, 222, -12, 703
36789, 3338, 8885, 9071, 10836, -427, 199, 113, 703
36799, 3339, 8879, 9051, 10835, -482, 233, 164, 703
36809, 3340, 8888, 9023, 10836, -471, 226, 225, 703
36819, 3341, 8883, 8941, 10834, -446, 238, 253, 703
36829, 3342, 8879, 8724, 10838, -465, 224, 205, 703
36839, 3343, 8881, 8797, 10835, -579, 234, 140, 703
36849, 3344, 8883, 9034, 10839, -587, 292, 22, 703
36859, 3345, 8885, 9099, 10838, -558, 316, -134, 703
36869, 3346, 8883, 9014, 10839, -533, 293, -244, 703
36879, 3347, 8889, 28645, 10839, -520, 272, -312, 703
36889, 3348, 8898, 9094, 10842, -518, 199, -386, 703
36899, 3349, 8892, 9037, 10845, -507, 143, -399, 703
36909, 3350, 8892, 17665, 10848, -507, 143, -399, 703
36919, 3351, 8896, 8938, 10841, -472, 141, -361, 703
36929, 3352, 8906, 9083, 10840, -416, 182, -365, 703
36939, 3353, 8898, 8998, 10844, -377, 223, -355, 703
36949, 3354, 8895, 17855, 10845, -321, 320, -353, 703
36959, 3355, 8898, 9040, 10843, -126, 433, -414, 703
36969, 3356, 8896, 9037, 10845, -56, 530, -415, 703
36979, 3357, 8896, 9065, 10851, -28, 622, -409, 703
36989, 3358, 8894, 8996, 10848, 23, 685, -437, 703
36999, 3359, 8902, 8849, 10846, 15, 642, -408, 703
37009, 3360, 8898, 9049, 10848, -158, 556, -344, 703
37019, 3361, 8882, 9102, 10849, -302, 447, -188, 704
37029, 3362, 8894, 9143, 10847, -271, 331, -30, 704
37039, 3363, 8896, 17933, 10845, -205, 330, -22, 704
37049, 3364, 8890, 17733, 10849, -87, 329, -71, 704
37059, 3365, 8884, 18023, 10849, 13, 395, -205, 704
37069, 3366, 8888, 9087, 10846, 13, 395, -205, 704
37079, 3367, 8880, 17691, 10850, 41, 477, -333, 704
37089, 3368, 8878, 18291, 10851, 45, 495, -364, 704
37099, 3369, 8878, 19769, 10843, -46, 453, -334, 704
37109, 3370, 8882, 8812, 10847, -109, 390, -245, 704
37119, 3371, 8882, 8813, 10845, -118, 327, -129, 703
37129, 3372, 8884, 8711, 10844, -134, 297, -96, 703
37139, 3373, 8881, 9129, 10842, -196, 232, -111, 703
37149, 3374, 8877, 18447, 10847, -237, 156, -55, 703
37159, 3375, 8883, 8736, 10844, -206, 97, -34, 703
37169, 3376, 8875, 8861, 10842, -256, 83, -84, 703
37179, 3377, 8881, 8718, 10844, -271, 103, -96, 703
37189, 3378, 8879, 8857, 10848, -253, 90, -203, 703
37199, 3379, 8879, 9123, 10841, -232, 155, -304, 703
37209, 3380, 8877, 9127, 10842, -187, 197, -349, 703
37219, 3381, 8886, 9133, 10839, -187, 197, -372, 704
37229, 3382, 8886, 17747, 10841, -146, 203, -372, 704
37239, 3383, 8888, 9129, 10839, -72, 189, -348, 704
37249, 3384, 8876, 9137, 10839, -121, 172, -338, 704
37259, 3385, 8880, 9138, 10842, -122, 190, -313, 704
37269, 3386, 8879, 17961, 10839, -95, 248, -244, 704
37279, 3387, 8875, 9216, 10835, -139, 323, -231, 704
37289, 3388, 8873, 9096, 10835, -94, 370, -248, 704
37299, 3389, 8869, 9139, 10830, -85, 407, -255, 704
37309, 3390, 8870, 9144, 10837, -111, 394, -302, 704
37319, 3391, 8869, 9092, 10839, -95, 360, -317, 704
37329, 3392, 8867, 9184, 10830, -117, 293, -202, 704
37339, 3393, 8866, 9124, 10831, -134, 196, -131, 704
37349, 3394, 8863, 28692, 10832, -246, 83, -63, 704
37359, 3395, 8859, 28660, 10826, -250, 15, -59, 704
37369, 3396, 8855, 29541, 10827, -250, -1, -41, 704
37379, 3397, 8850, 29548, 10833, -250, -1, -41, 704
37389, 3398, 8849, 29561, 10830, -283, -14, -27, 704
37399, 3399, 8855, 29507, 10828, -230, 15, 10, 704
37409, 3400, 8841, 29495, 10828, -223, 91, -27, 704
37419, 3401, 8834, 29575, 10827, -192, 141, -97, 704
37429, 3402, 8836, 29596, 10826, -238, 177, -144, 704
37439, 3403, 8840, 29609, 10825, -260, 199, -109, 704
37449, 3404, 8837, 29665, 10823, -232, 190, -81, 704
37459, 3405, 8836, 28616, 10824, -236, 121, -107, 704
37469, 3406, 8830, 29634, 10823, -262, 138, -113, 704
